id,priority,title,current,target,diff,action
"GAP-0001","P0","수식 및 도표 OCR 추출 시 환각 발생 위험",2.1,4.8,2.7,"ChatDOC식 Crop-and-Cite 원문 사각영역 캡처 대조 검증 모듈 탑재"
"GAP-0002","P0","출처 각주 누락 및 존재하지 않는 가짜 인용 생성",2.5,4.9,2.4,"NotebookLM식 엄격 접지(Strict Grounding) 파이프라인 구축"
"GAP-0003","P1","연구 질문에 대한 과학계 합의 지표(Consensus) 부재",0,4.8,4.8,"Consensus Meter 알고리즘 및 메타분석/RCT 가중치 부여 로직 구현"
"GAP-0004","P1","수십 편 논문의 방법론/결과 일괄 비교 매트릭스 부재",0,4.7,4.7,"Elicit 스타일 데이터 추출 그리드 워크벤치 개발"
"GAP-0005","P1","PDF 뷰어 내 수식/전문용어 실시간 1:1 드래그 해설 미비",0,4.9,4.9,"SciSpace형 Copilot 사이드바 및 LaTeX 수식 파서 결합"
"GAP-0006","P2","인용의 문맥(지지/반박/언급) 분류 기능 부재",0,4.8,4.8,"Scite.ai 스마트 인용 데이터셋 API 연동 및 문맥 하이라이트"
"GAP-0007","P2","음성 기반 오디오 팟캐스트 요약 기능 부재",0,4.6,4.6,"NotebookLM식 2인 AI 호스트 대화형 오디오 요약 생성기(TTS) 탑재"
"GAP-0008","P2","모바일 반응형 터치 조작 시 PDF 뷰어 확대/축소 불안정",2.8,4.5,1.7,"모바일 핀치줌 및 가상 렌더링 최적화"
"GAP-0009","P3","Zotero 및 Mendeley 서지 관리 도구 양방향 동기화 미비",0,4.7,4.7,"Zotero Web API 양방향 컬렉션 싱크 플러그인 개발"
"GAP-0010","P3","체계적 문헌고찰을 위한 이중 맹검 스크리닝 도구 부재",0,4.6,4.6,"Rayyan 스타일 5성급 포함/배제 자동화 판정 모드 추가"
